rgiid	v0	a0	flag	tauv	tv_err	dv	dv_err	tauA	ta_err	da	da_err
15.06620	0.273852	3.17	0	20.692193304415554	0.04231039465303815	0.011601156218143944	2.4927456319426065e-6	20.611911369579815	0.03876908503289869	0.10839943482716044	0.000021381122339065088
15.06623	0.647727	6.27	0	59.29774139719392	0.059623273554172046	0.09015202904940708	0.000017224315882973197	57.52837595027999	0.12578173328230643	0.7214593574244201	0.00029428154310046973
15.06630	0.338974	3.8	0	46.93516247639064	0.04668244548992707	0.042211852815677846	6.942722684160437e-6	49.47356703212055	0.09883113686366142	0.36953071530859066	0.00012588765714355624
15.06648	0.436995	4.83	0	43.76934141474675	0.04594989652590872	0.02260443051576002	3.768728200446362e-6	44.469599157616635	0.06618255888393162	0.19746169393642457	0.000047100203769281714
15.06666	5.460462	40.78	0	51.84632755318158	0.03713632828912323	0.2210407705662906	0.00002775627331594703	52.29063518984747	0.042320618688414705	1.2920457191309263	0.00018425097733294478
15.06674	1.05177	10.7	0	19.953079720902654	0.04417319369582479	0.020251264918715175	4.6208891664792665e-6	20.701948547909907	0.0737436576968299	0.16411006896159183	0.00006144604713271957
15.06679	0.346171	4.32	0	30.212687989007705	0.03584180711493682	0.02498316447910835	3.822065998520367e-6	30.684395476983386	0.05711045869641044	0.24625425117406322	0.000059612134545507064
15.06686	0.895112	9.56	0	35.696966980979724	0.042379295844049224	0.04509870650515709	7.5740266761972795e-6	36.17834153252532	0.029971780074134542	0.3779943804822042	0.00004463238457255375
15.06693	0.565186	5.99	0	35.80754610634194	0.033451744915525355	0.031082313417033085	4.114814659694596e-6	35.55485993885901	0.04921009896711852	0.2669891848954834	0.00005215780682274433
15.06701	1.337141	10.37	0	36.99689174622937	0.037147770430253774	0.06600590582453238	9.565531598916997e-6	36.14332566071666	0.04531488162370901	0.42389538321232034	0.00007570706385511516
15.06709	0.568482	7.35	0	51.55340954686911	0.036023712490640396	0.06015384393417412	7.344226686943035e-6	51.197307214013016	0.046233540714578615	0.6267231047535977	0.00009848223664720573
15.06720	9.417059	68.33	0	38.040964469162475	0.03606666327335873	0.25195861631312694	0.00003502296108189672	36.45599581528798	0.04720343051495217	1.5514216408654975	0.00028754027081212747
15.06722	0.567601	3.96	0	56.39772104034014	0.07290707853707104	0.05489807896775813	0.000013082278254132488	55.476096756159464	0.09229634862138611	0.3126462503724799	0.00009494044500490822
15.06723	1.091259	6.47	0	111.95542060445845	0.13001141365459926	0.14803562448486213	0.00004958887026143033	114.52021349724744	0.08693081676384255	0.7001011439710677	0.0001557744090747745
15.06724	0.704148	5.16	0	71.58316015887736	0.09896132965085555	0.0775251702664695	0.00002289102972341711	72.74051542578043	0.08251603292887097	0.4521546336978838	0.00011067468017539732
15.06727	1.519704	7.9	0	61.71571429413807	0.044638366554905676	0.09180330695478181	0.000012928783769720702	63.04166986517949	0.07721756239436178	0.3739777013511284	0.00009036399179324446
