rgiid v0 a03 flag tauv5 tv_err dv7 dv_err tauA9 ta_err dA11 da_err id13 tau e15 beta c17 id bt19  
15.02703 17.894999 89.03 0 134.96387249401536 0.33181196718605194 2.646935868832528 0.0013387455092225323 178.43562878231967 1.1597545632833894 5.799815160870238 0.009293667632282794 15.02703 2599.990000 5345.918671 0.007 0.0000069 15.02703 -7.830044  
15.02706 1.160333 7.58 0 233.2547904544915 0.41449606382166804 0.545663651247081 0.000287823215426415 320.43277303606436 2.4301915601276884 2.5487327090493745 0.007202800169998757 15.02706 2999.990000 5806.862423 0.005 0.0000052 15.02706 -2.321306  
15.02709 7.98227 42.41 0 123.97866375972986 0.15851175221669947 0.9601619932532981 0.0002396023873032491 145.4092756983463 0.7128990816430666 1.7186554373019438 0.0018169752359551612 15.02709 1799.990000 5189.755908 0.010 0.0000061 15.02709 -9.240852  
15.02710 0.315986 4.89 0 21.62634374281458 0.14597278807468542 0.020280065975429227 0.000010235117560571859 31.532405444911948 0.2911458243148195 0.1508331069417383 0.00012671682286379663 15.02710 1399.990000 5716.689452 0.010 0.0000130 15.02710 -7.621935  
15.02721 0.304071 4.07 0 34.27061042272704 0.1302417893281194 0.05142901429648198 0.0000185798374512803 53.07102393578961 0.5739909072069851 0.3520586139707168 0.00045729082708112316 15.02721 799.990000 5290.375195 0.007 0.0000130 15.02721 -4.050378  
15.02734 0.230252 3.04 0 70.13167224676283 0.48542512308527663 0.031127194540061194 0.00003016705349508431 91.30338354387357 0.9464254563836351 0.10126379064558944 0.00017075580327695865 15.02734 1599.990000 5314.254756 0.008 0.0000052 15.02734 -5.489147  
15.02740 0.19772 2.99 0 71.92694159317978 0.28552197699107074 0.059686999328376705 0.00003364775533711917 110.5123158206636 1.3326899658570324 0.5287293706662198 0.0011606646744868 15.02740 2399.990000 5324.045758 0.005 0.0000043 15.02740 -1.944144  
15.02762 0.381332 4.06 0 170.7293788674661 0.5108548091762792 0.23797108759193236 0.000170448740372614 255.33790214842298 2.5204349271127042 1.654688092031453 0.005172000418548567 15.02762 2799.990000 5510.973711 0.007 0.0000122 15.02762 -3.674511  
15.02771 1.478259 13.75 0 102.0124172992064 0.1494648109159219 0.20394228818895233 0.00005186542910149006 133.1177274698779 0.8511547391239821 0.6374067223168358 0.0008312508773519146 15.02771 3799.990000 5250.605330 0.005 0.0000069 15.02771 -4.806545  
15.02774 0.33229 3.61 0 71.72510534114494 0.1066263032149177 0.06342795323498797 0.000013369597666129066 94.99444691642005 0.6018325383078861 0.41294402229071925 0.0004355057425036309 15.02774 1799.990000 5079.650401 0.007 0.0000052 15.02774 -2.921179  
15.02783 1.446542 9.85 0 104.20628974798915 0.16225655329320676 0.3000605821576509 0.0000821235074294227 132.77552458052025 0.9034578839735552 0.911208370251368 0.0012625638576357987 15.02783 2399.990000 5119.729132 0.006 0.0000113 15.02783 -5.657247  
15.02789 1.321436 12.48 0 60.85275801984735 0.2679656033680549 0.15438686889216507 0.00008798801921535012 86.78151727060548 0.8656494972616077 0.5664700869682084 0.0008926541827293117 15.02789 1399.990000 5638.305730 0.006 0.0000078 15.02789 -5.056911  
15.02831 1.13765 15.05 0 30.36692560364921 0.1688870961342057 0.06335874974663333 0.00003143474372748422 50.87487607746678 0.34150648403567785 0.3609198617239024 0.00028436952636047975 15.02831 5399.990000 4822.739926 0.007 0.0000122 15.02831 -6.332358  
15.02833 1.209631 7.87 0 244.11099499771487 1.0826640108094105 0.8582504433270072 0.0011671211180824055 358.00204147760695 4.202486186818333 3.3990858121624106 0.016071128466462702 15.02833 4199.990000 5177.597318 0.009 0.0000078 15.02833 -5.154663  
15.02843 0.205299 3.53 0 42.50732918836914 0.261769254094775 0.02925810271366993 0.000019201073929235426 67.87563794638451 0.6910700205194342 0.22057771433388784 0.0003087694726670866 15.02843 999.990000 5609.698371 0.007 0.0000130 15.02843 -3.346959  
15.02844 0.35564 4.65 0 65.14893891517464 0.3183036845056203 0.06264954120279403 0.00004113641164383479 87.20372438329876 0.9551817648530321 0.41499518481646375 0.0007201079203639602 15.02844 2399.990000 5782.351691 0.005 0.0000087 15.02844 -2.455596  
15.02846 14.880139 76.5 0 201.67226524158426 0.4806798019488216 2.451874405649857 0.0015662412150673178 228.94458048797037 0.8001112713226717 3.485797134463193 0.003568476943742593 15.02846 4399.990000 5626.817022 0.010 0.0000069 15.02846 -10.655549  
15.02856 2.392771 12.64 0 254.17476462336361 0.8181227814776929 1.4579236473333563 0.0014810869938295832 397.1818987097325 4.492798486441145 3.9835129375828355 0.019479161144240302 15.02856 5799.990000 5794.877326 0.010 0.0000104 15.02856 -6.116607  
15.02862 1.189741 7.85 0 130.9098786802031 0.7020783524862231 0.301528756843097 0.00032640954577757125 194.47609255501865 2.60063221041403 1.0877263555673335 0.0038019692724399873 15.02862 2999.990000 5557.186958 0.005 0.0000130 15.02862 -2.710111  
15.02866 1.47258 13.75 0 105.52816423428757 0.6486838916722283 0.4986600660969942 0.0005428344853447862 153.9865701124123 1.9611642886860656 2.322579544186145 0.006617660235839476 15.02866 6199.990000 5869.647373 0.006 0.0000078 15.02866 -2.752798  
15.02867 0.425266 5.09 0 105.34230972662897 0.19984104935091832 0.10291271730282552 0.000034537776920956536 116.03518007973703 0.5399455556655273 0.5059347057961561 0.0004413292084500026 15.02867 1799.990000 5616.037234 0.007 0.0000130 15.02867 -2.740999  
15.02873 0.486127 5. 0 186.38426440475712 0.5766466210713874 0.25034687950725293 0.00019666060694425064 278.7382993679681 1.6975501381409337 1.7098955790296049 0.0035119309153923044 15.02873 2399.990000 5950.597934 0.005 0.0000052 15.02873 -2.314368  
15.02879 0.296173 4.82 0 27.764467545562688 0.13207476009431932 0.041024317322709045 0.000016612576702226985 47.30916719297098 0.6676039312250013 0.3420750495831285 0.0005448013843750708 15.02879 599.990000 5519.756458 0.007 0.0000130 15.02879 -3.937904  
15.02883 0.553044 5.33 0 70.62826285276844 0.11621213198995509 0.12930543563475738 0.0000299080218626893 93.61212109898868 0.5813166887125877 0.703498020072816 0.000721043136726506 15.02883 1199.990000 5725.131279 0.010 0.0000078 15.02883 -4.89811  
15.02885 0.526123 6.18 0 57.35358547158688 0.18379530564068303 0.13579964582948376 0.000054522493983353575 87.45488391000876 0.79059401083672 0.8479292935675716 0.0012163297405942647 15.02885 1399.990000 5738.208514 0.010 0.0000113 15.02885 -5.171439  
15.02888 0.885114 8. 0 103.44605051367243 0.20032778590174388 0.30241796226999934 0.00010249481687776374 135.80806941663263 0.9545503303388703 1.2255111451415026 0.0017789616371897406 15.02888 2999.990000 5576.589356 0.009 0.0000113 15.02888 -3.870442  
15.02896 0.878818 10.56 0 87.87664435409098 0.16651496629856147 0.2598650229388283 0.00007835249087115543 113.67931651027482 0.6601643809914446 1.8479053979880748 0.001986913182034867 15.02896 1599.990000 5784.308871 0.007 0.0000122 15.02896 -3.747325  
15.02897 1.219569 10.08 0 107.46573208662238 0.7921774919016964 0.4469664882852632 0.0005898301019383949 158.01301413602047 2.353865855619482 1.6525196229818357 0.005600300866755067 15.02897 2599.990000 5452.285480 0.009 0.0000104 15.02897 -4.737308  
15.02906 0.861489 8.24 0 136.29922881790557 1.3665507029776487 0.24626491047304852 0.0005110859968892779 130.4780781517775 1.10989825865763 1.1903957184151666 0.0020397020072159804 15.02906 1599.990000 5674.340705 0.010 0.0000069 15.02906 -5.813577  
15.02908 0.597373 7.53 0 45.37012370751727 0.19335778437345796 0.10430795859243316 0.00004905525769941637 67.42021329398844 0.732654397199878 0.744851051634675 0.0011087049420135412 15.02908 2799.990000 5914.369279 0.007 0.0000130 15.02908 -2.99451  
15.02911 1.096626 9.08 0 182.12389522590735 0.5570956362440102 0.4123740698143911 0.00031530256234316514 236.78455740382918 2.165790040937879 2.083115426794902 0.005716478919906437 15.02911 3999.990000 5828.632177 0.005 0.0000043 15.02911 -2.083648  
15.02997 0.998315 10.93 0 70.01074826965458 0.2615523405667175 0.1409114196145883 0.00007363870882348789 92.73651432438125 0.9856573605561555 0.48602389251399336 0.0008479655562133777 15.02997 1599.990000 4592.125008 0.008 0.0000069 15.02997 -5.059219  
15.02999 0.237531 3.03 0 76.50975601551136 0.1901757076435734 0.09117416070333013 0.00003332204423114383 120.0768362076763 1.109369182102804 0.802024460967978 0.0014182171078448516 15.02999 1799.990000 5244.480708 0.007 0.0000052 15.02999 -2.30103  
15.03001 0.295106 3.37 0 90.98379248727562 0.2530871221620568 0.09463498556005721 0.00004273635189515943 134.09965583866986 0.6348432330112441 0.6868999390759931 0.0006662969392522911 15.03001 1399.990000 5107.881070 0.008 0.0000087 15.03001 -3.031177  
15.03025 0.379687 3.73 0 76.96737082977938 0.3445509893196713 0.11916949709461505 0.00007870404329754983 110.45154632284425 1.2243585198902285 0.6388956739080762 0.0012887791481587644 15.03025 3799.990000 5140.805074 0.009 0.0000043 15.03025 -3.342263  
15.03093 0.252132 3.23 0 124.07683853580369 0.5150346643152905 0.13402642544101637 0.00010863738290438738 174.9282396366882 1.8548290029272685 1.106284765926313 0.0028537893545814838 15.03093 5799.990000 5670.985749 0.005 0.0000122 15.03093 -1.630568  
15.03094 0.190368 2.73 0 61.99525213968882 0.0958367910884017 0.07145463347829625 0.000014443346643448718 98.20794466226702 0.7620477815300235 0.7054673307088197 0.0009291505755493356 15.03094 999.990000 5799.787916 0.008 0.0000104 15.03094 -2.773527  
15.03142 0.420117 5.04 0 26.161179880131762 0.10521989367315278 0.03885186220164536 0.000012896058345673182 58.89894905095429 0.47593665888842307 0.3507509161569187 0.0003603038354676172 15.03142 1199.990000 5693.723549 0.010 0.0000069 15.03142 -6.650595  
15.03149 0.865085 10.36 0 114.44401420991113 0.2658275997295702 0.19582739811853386 0.00008455995193329223 125.44423398788184 0.769178051259119 0.9878438401483726 0.0011907842280106588 15.03149 2799.990000 5742.399612 0.006 0.0000078 15.03149 -3.244195  
15.03150 1.656818 11.83 0 180.01177949116078 0.5989112481274391 1.0649719732898286 0.000878733050380406 246.4819075773235 1.878081715043739 4.114488854135464 0.009679273090405636 15.03150 3599.990000 5814.671728 0.010 0.0000078 15.03150 -5.071498  
15.03152 0.315472 3.95 0 77.10078832174315 0.22949135134122403 0.14946978528613689 0.00006570088910314722 107.49968290707298 1.0125837176390364 1.0625045896290597 0.00179199093474348 15.03152 1999.990000 5891.242687 0.010 0.0000104 15.03152 -2.570896  
15.03188 1.385169 14.66 0 89.17361474752954 0.43889846802560983 0.24400013900682072 0.00019271330675454246 100.60908161465359 0.6148790541545803 1.661896089482268 0.0017486155725810212 15.03188 1999.990000 5299.442090 0.009 0.0000095 15.03188 -7.856898  
15.03200 0.34719 4.12 0 88.12896140348514 0.1747167240158071 0.08696098285028456 0.000027477849977181274 135.2955510475385 1.1997575178323805 0.468738243330224 0.0008564218511320263 15.03200 1399.990000 4966.759517 0.007 0.0000122 15.03200 -3.303924  
15.03201 0.405733 4.44 0 78.62958201841505 0.23855569603928656 0.12187047353655789 0.00005521287110757779 98.95408392027433 0.8686356793617375 0.6465718084335186 0.0009676606094933255 15.03201 1599.990000 4853.715167 0.010 0.0000078 15.03201 -3.528536  
15.03206 4.873167 34.26 0 127.32907907678253 0.26113256678119606 0.8350732410647995 0.00033979642547986386 182.5559763896447 1.6597646389119156 2.109284910267874 0.004801248772034573 15.03206 3799.990000 5237.425223 0.005 0.0000069 15.03206 -5.654953  
15.03210 0.208621 3.22 0 19.41439667975402 0.09770236005531117 0.01047434832471779 3.7279446746782074e-6 31.28741125546852 0.3971291597277896 0.09035438524530157 0.0001039245112825004 15.03210 599.990000 4899.142228 0.010 0.0000061 15.03210 -6.14841  
15.03217 1.154964 11.34 0 107.22085511913949 0.3474675255942588 0.2448546334640355 0.00014185753045209502 149.43660457863476 1.1643988689228422 0.8618876971915933 0.0014736939653591115 15.03217 1999.990000 5186.799922 0.008 0.0000061 15.03217 -4.470595  
15.03366 4.418363 29.86 0 64.138297253084 0.1940698313747619 0.1931953129230649 0.00007788461624708278 75.11426147125368 0.6487773401641698 0.4843205478464849 0.0006087198473963514 15.03366 1199.990000 5619.564073 0.007 0.0000130 15.03366 -7.57776  
15.03378 0.224908 3.01 0 112.59944966913885 0.5100494325628434 0.11223413015536413 0.00009359096794740817 184.15647708563264 1.9991825828207626 1.1120272891220493 0.0030402816356291935 15.03378 2399.990000 5963.373640 0.005 0.0000078 15.03378 -1.315073  
15.03396 0.243782 3.18 0 73.88683062948249 0.5014509803391093 0.0963314218774032 0.00009425680018701139 96.95368800425723 0.7711707903419289 0.7201307292634447 0.000964942542749583 15.03396 1999.990000 5405.128814 0.009 0.0000113 15.03396 -3.399189  
15.03401 1.16077 9.64 0 187.91405877875948 0.8544173456584108 0.661609859732605 0.000768070575409295 303.21905225050614 3.8284510697077394 2.711462825268265 0.012264592325877234 15.03401 3399.990000 5767.900062 0.006 0.0000052 15.03401 -3.071098  
15.03403 0.783451 6.57 0 233.82782805913246 1.1418996875496807 0.4768891195463176 0.0006924967482262095 375.3184355088093 5.319405469370871 2.096365784049925 0.012362193439981723 15.03403 3399.990000 5228.256712 0.006 0.0000052 15.03403 -2.46759  
15.03417 2.444132 15.28 0 186.66578126666258 0.881450656905009 1.0506802529090578 0.0012610254165511174 254.67917748666798 2.6394453927382164 3.636108402945938 0.011910593965771184 15.03417 4599.990000 5569.481887 0.007 0.0000078 15.03417 -4.215871  
15.03422 6.272085 31.69 0 322.9608004473654 0.9305756034018997 2.2114484284205735 0.002387663216735191 403.3102944453441 3.1592964951917724 6.599488912541082 0.0225771896895995 15.03422 9999.990000 5431.928516 0.005 0.0000095 15.03422 -3.49181  
15.03428 2.467113 19.15 0 132.2991885136391 0.4601095252813558 0.6637208994346225 0.00046898903573623163 179.5554698994 1.931293943183285 2.0272978142978992 0.005398617741904695 15.03428 2999.990000 5348.157676 0.006 0.0000104 15.03428 -4.280934  
15.03435 1.011172 8.11 0 263.4044063439895 0.939073497144097 0.6449779402406027 0.0007445668573419958 372.77958334291236 2.680528086465374 2.855871286943422 0.008504693482075922 15.03435 2999.990000 5247.721447 0.007 0.0000104 15.03435 -2.925636  
