"14.11566"	0.370862	4.45	0	99.0023059200985	0.245792107188941	0.178126993009685	7.54186846093687e-05	136.210510894833	0.618104052115561	1.09943710931458	0.00103229325730325	"14.11566"	1199.99	5097.996269	0.01	1.3e-05	"14.11566"	-4.197365	""	NA
"14.11567"	1.154255	11.52	0	102.554869291896	0.401528945644669	0.248939381560882	0.000169706789125197	132.102879520198	0.925838585070844	1.56276830068264	0.00222325419905041	"14.11567"	1399.99	5174.350871	0.005	6.1e-06	"14.11567"	-3.326811	""	NA
"14.11571"	0.289788	3.75	0	60.425775868849	0.230826946426655	0.0673997221745092	3.31936249090316e-05	109.996913768371	1.41373642333053	0.770986882996061	0.00179876250007358	"14.11571"	1799.99	5103.299834	0.005	6.9e-06	"14.11571"	-2.299391	""	NA
"14.11573"	4.56902	22.52	0	131.088370145746	0.551629185806819	0.648319162586093	0.000551138329378817	199.023612015297	2.20165973430761	1.62330189273834	0.00476901233623281	"14.11573"	3199.99	5252.634072	0.005	5.2e-06	"14.11573"	-4.207409	""	NA
"14.11577"	0.477565	5.96	0	46.7676514163946	0.175837952558084	0.0750321293503257	3.16422825376825e-05	84.5587817619764	0.889771325850441	0.701927739958688	0.00114957723390856	"14.11577"	1199.99	5409.359208	0.005	1.22e-05	"14.11577"	-2.789283	""	NA
"14.11578"	0.309239	3.15	0	46.4840487213023	0.173742458256042	0.0604558947798209	2.52623624024752e-05	77.3810613387786	0.828646592314257	0.450871630700199	0.000714478471594905	"14.11578"	1199.99	5450.270032	0.009	8.7e-06	"14.11578"	-3.562588	""	NA
"14.11591"	0.776644	6.15	0	99.6408041049	0.632766015295756	0.249419985197103	0.000271146548278186	146.121694648621	1.92077944228526	1.2949722657167	0.003682146626794	"14.11591"	1799.99	5340.667478	0.007	1.13e-05	"14.11591"	-3.648207	""	NA
"14.11611"	0.964826	7.75	0	141.532255135114	0.540773367459069	0.478682268590106	0.000387682964254	180.751951199702	1.67182450028224	2.19456400002828	0.00504793445507801	"14.11611"	2799.99	5461.63115	0.008	9.5e-06	"14.11611"	-3.384729	""	NA
"14.11615"	0.306753	3.76	0	86.9447055170826	0.24736017125303	0.114676252817449	5.15965470480232e-05	130.11170873018	1.31451639086129	0.841168976483145	0.0017088529077009	"14.11615"	2199.99	5444.483146	0.006	8.7e-06	"14.11615"	-2.076161	""	NA
"14.11617"	1.006778	10.1	0	158.064943505981	0.8126205559343	0.404904449526323	0.000473667486896362	180.430631358477	1.52465508132545	1.84835525981981	0.00387957215799978	"14.11617"	1799.99	5466.299491	0.006	1.3e-05	"14.11617"	-2.680657	""	NA
"14.12198"	0.566525	5.16	0	74.5828930343927	0.326789514538962	0.135583555696858	8.61014655416826e-05	107.706414941074	0.919068177176154	0.698988336968313	0.00106918965616134	"14.12198"	1999.99	5464.617082	0.007	4.3e-06	"14.12198"	-3.289131	""	NA
"14.12323"	0.573882	5.12	0	89.3850547310305	0.390531877253175	0.120651560257056	8.47056294335376e-05	139.434857385206	1.59932272199652	0.65471044602881	0.001576835320512	"14.12323"	1999.99	4923.520845	0.005	5.2e-06	"14.12323"	-2.571084	""	NA
"14.12331"	0.617031	5.81	0	58.056250582171	0.116913786189765	0.103516901540402	2.62921524930539e-05	74.9844794920795	0.586393231958267	0.633773076684879	0.000720509114872394	"14.12331"	1599.99	5166.873214	0.008	9.5e-06	"14.12331"	-3.717986	""	NA
"14.12355"	0.995087	7.19	0	188.716112182235	0.388471041255977	0.441527357894903	0.000232731524834968	263.401509663532	2.66569486783529	1.77278808201728	0.00580935423237664	"14.12355"	3399.99	5377.023737	0.006	5.2e-06	"14.12355"	-2.848197	""	NA
"14.12357"	0.364938	4.29	0	58.110947649252	0.142288718868946	0.079629137604671	2.46040541929141e-05	94.8489123061851	0.516508553276772	0.600632914150603	0.00054399052214	"14.12357"	1399.99	5577.13333	0.009	1.22e-05	"14.12357"	-4.262011	""	NA
"14.12361"	0.805167	7.65	0	89.4381646016263	0.192909679771749	0.200384656449201	6.94756035269746e-05	98.8470329776708	0.780290962860567	0.978748034558189	0.0013164071007166	"14.12361"	2599.99	4964.203566	0.01	9.5e-06	"14.12361"	-4.355087	""	NA
"14.12365"	0.817089	9.27	0	47.5964357002907	0.281351340417215	0.166770895016838	0.000111622924468578	76.3538220250057	0.978785171726236	0.939084650973785	0.00176800123735962	"14.12365"	1599.99	5250.435222	0.007	1.04e-05	"14.12365"	-4.742711	""	NA
"14.12409"	0.374149	3.98	0	87.6650712233613	0.211972525549658	0.152290290753476	5.85123498668833e-05	109.792492448602	0.686223346781818	1.03098898013424	0.00116842863820128	"14.12409"	1799.99	5326.125766	0.01	8.7e-06	"14.12409"	-3.162895	""	NA
"14.12522"	0.371516	4.39	0	48.6061112529792	0.273247415514303	0.0813256282360243	5.23557100071079e-05	85.0860320162928	1.20629741374865	0.632823572969627	0.00140136565682378	"14.12522"	2399.99	5975.188967	0.006	1.3e-05	"14.12522"	-2.203789	""	NA
"14.26838"	0.938636	7.54	0	88.0416372107956	0.153888497244914	0.248883200381649	6.92959825463761e-05	116.707954392009	0.912309775500386	1.02292323908748	0.00150422601763177	"14.26838"	1399.99	5610.5396	0.01	8.7e-06	"14.26838"	-4.753937	""	NA
"14.26843"	0.577869	5.84	0	96.4364730764761	0.235784285530368	0.169875470209507	6.97508518294146e-05	134.854435381426	0.947318545984294	0.845234603391282	0.0012208652129865	"14.26843"	1199.99	5554.537057	0.008	1.3e-05	"14.26843"	-3.713199	""	NA
